category_id,name,phone,address,longitude,latitude,detail
3,소미연, 02-413-8887, 서울특별시 송파구 석촌동 276-1, 127.10727916595505, 37.50098393945704, 소미연 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,금문도, 02-420-3834, 서울특별시 송파구 석촌동 297-1, 127.1089512624267, 37.50113170351656, 금문도 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,달인각, 02-412-4881, 서울특별시 송파구 석촌동 23-2, 127.09912188546647, 37.50594100885199, 달인각 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,만당홍, 02-415-5835, 서울특별시 송파구 석촌동 176, 127.10485967643231, 37.50566018084081, 만당홍 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,중국 전통 레스토랑 팬다, 02-422-3487, 서울특별시 송파구 석촌동 2-7, 127.09744478457527, 37.505261442190886, 중국 전통 레스토랑 팬다 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,샹하이, 02-412-4881, 서울특별시 송파구 석촌동 23-2, 127.09912166925994, 37.505959028389626, 샹하이 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,홍짜장 석촌점, 02-412-9596, 서울특별시 송파구 석촌동 273-5, 127.10685071819636, 37.500872578571574, 홍짜장 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,또와꼬치, 02-2202-4064, 서울특별시 송파구 석촌동 274-14, 127.10553875370897, 37.49992556423723, 또와꼬치 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,옛날맛짜장, 02-425-3533, 서울특별시 송파구 석촌동 295-10, 127.10870725453555, 37.501679512459575, 옛날맛짜장 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,도원각, 02-412-8685, 서울특별시 송파구 석촌동 175-9, 127.10577821226914, 37.50545988347367, 도원각 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
3,마음에드는양꼬치, 02-421-6029, 서울특별시 송파구 석촌동 276-5 2층, 127.10791010311019, 37.50118693181978, 마음에드는양꼬치 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,BHC치킨 석촌점, 050-4898-9137, 서울특별시 송파구 석촌동 150-1 1층, 127.10189649313747, 37.50470062141034, BHC치킨 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,BBQ 석촌2점, 050-7457-8537, 서울특별시 송파구 석촌동 156-6, 127.1012812464661, 37.50602050662421, BBQ 석촌2점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,또래오래 송파석촌점, 050-4898-9114, 서울특별시 송파구 석촌동 263-5, 127.10383185633975, 37.502696923504594, 또래오래 송파석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,네네치킨 석촌점, 050-4457-8060, 서울특별시 송파구 석촌동 251-8, 127.10253195574421, 37.49979466683951, 네네치킨 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,그릴킹, 02-422-9255, 서울특별시 송파구 석촌동 240-6, 127.10226464233077, 37.499450235866675, 그릴킹 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,굽네치킨 석촌점, 02-421-9294, 서울특별시 송파구 석촌동 166-12, 127.10411768029391, 37.50623124242861, 굽네치킨 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,고가네살로만치킨, 02-423-1464, 서울특별시 송파구 석촌동 266-13, 127.10628650988366, 37.501715314686656, 고가네살로만치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,진미쌀통닭, 050-8028-5210, 서울특별시 송파구 석촌동 5, 127.09783168565232, 37.50506616022097, 진미쌀통닭 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,맥시칸치킨 가락점, 02-418-8075, 서울특별시 송파구 석촌동 273-19, 127.10691379794807, 37.50032340784247, 맥시칸치킨 가락점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,피자나라치킨공주 잠실1호점, 02-3432-9528, 서울특별시 송파구 석촌동 220-2, 127.09870429480563, 37.49926998659256, 피자나라치킨공주 잠실1호점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,두기두기치킨호프, 02-413-6898, 서울특별시 송파구 석촌동 203, 127.10272616964318, 37.50531062676705, 두기두기치킨호프 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,치킨뱅이 석촌호수점, 02-412-0490, 서울특별시 송파구 석촌동 1-1 신동아로잔뷰 1층, 127.09797410560788, 37.506391803163744, 치킨뱅이 석촌호수점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,탁꼬치킨, 02-421-5933, 서울특별시 송파구 석촌동 178, 127.10434290425121, 37.506314043107736, 탁꼬치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,교촌치킨 석촌점, 02-412-0799, 서울특별시 송파구 석촌동 14-13, 127.09771227180383, 37.50276754802879, 교촌치킨 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,작살치킨, 02-418-5413, 서울특별시 송파구 석촌동 180, 127.10386058969021, 37.506923111042966, 작살치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,피자레또24시 송파점, 02-2202-4555, 서울특별시 송파구 석촌동 210-20, 127.09720169747484, 37.50196170990717, 피자레또24시 송파점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,감통반 석촌점, 02-419-6498, 서울특별시 송파구 석촌동 291-15, 127.10710751262609, 37.50305508282545, 감통반 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,호치킨 석촌점, 02-2202-8892, 서울특별시 송파구 석촌동 293-3, 127.10766958094183, 37.50239253890019, 호치킨 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,작살치킨 석촌본점, 02-415-5413, 서울특별시 송파구 석촌동 171-9, 127.10478319562387, 37.5054343372312, 작살치킨 석촌본점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,할로할로, 02-2202-7792, 서울특별시 송파구 석촌동 293 1층, 127.10880740561166, 37.50277054996617, 할로할로 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,사바사바치킨, 02-2203-7292, 서울특별시 송파구 석촌동 2-18, 127.09736275767982, 37.50455799016363, 사바사바치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,쌀쌀맞은닭 석촌점, 02-2042-4488, 서울특별시 송파구 석촌동 181-4, 127.10372272261928, 37.50710227850599, 쌀쌀맞은닭 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,천하일미닭강정 엄마손점, 02-419-7775, 서울특별시 송파구 석촌동 277-2, 127.1075889595204, 37.50156295528628, 천하일미닭강정 엄마손점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,BBQ 석촌점, 02-412-2255, 서울특별시 송파구 석촌동 240-6, 127.10235478753255, 37.49947795165219, BBQ 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,그린맘치킨, 1577-5788, 서울특별시 송파구 석촌동 297-2, 127.10926662667588, 37.50124220548452, 그린맘치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,치킨방앗간 석촌점, 02-413-9288, 서울특별시 송파구 석촌동 275-12, 127.10830890704656, 37.50093764125088, 치킨방앗간 석촌점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,멕시칸치킨 가락시영점, 02-412-7622, 서울특별시 송파구 석촌동 252-5, 127.10382016726669, 37.49988552712621, 멕시칸치킨 가락시영점 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,통큰치킨, 02-470-9397, 서울특별시 송파구 석촌동 255 1층, 127.10422663224549, 37.499942668908254, 통큰치킨 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,치킨도시, 02-3431-2080, 서울특별시 송파구 석촌동 235, 127.09908433877243, 37.502471644008395, 치킨도시 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
1,코리안숯불바베큐, 02-3431-9294, 서울특별시 송파구 석촌동 273-12 영신빌딩 1층, 127.1052506711431, 37.5003739161679, 코리안숯불바베큐 매장 설명입니다. 여러분 남은 기간동안 화이팅 합시다. 치소맥 먹고 싶네요~
